IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9.356
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9.518
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9.056
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",8.439
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8.36
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8.271
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",77,"2026",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8.175
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",78,"2027",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8.075
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",79,"2028",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",7.969
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",80,"2029",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",7.866
55,"Crude birth rate","Crude birth rate (births per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",7.758
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9.432
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9.493
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",10.656
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",10.21
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.19
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.23
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",77,"2026",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.286
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",78,"2027",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.337
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",79,"2028",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.4
