Year,Net Migration Rate,Total fertility rate,p_male,p_female
2000,0.0022,1.363788,0.5134,0.4866
2001,0.004957,1.331394,0.5134,0.4866
2002,0.004641,1.389026,0.5134,0.4866
2003,0.005462,1.373068,0.5134,0.4866
2004,0.006730000000000001,1.415371,0.5134,0.4866
2005,0.006158,1.405953,0.5134,0.4866
2006,0.0031179999999999997,1.404183,0.5134,0.4866
2007,0.002967,1.380882,0.5134,0.4866
2008,0.003052,1.410574,0.5134,0.4866
2009,0.002184,1.392745,0.5134,0.4866
2010,0.002698,1.44015,0.5134,0.4866
2011,0.003799,1.429717,0.5134,0.4866
2012,0.005339,1.439702,0.5134,0.4866
2013,0.0066879999999999995,1.435982,0.5134,0.4866
2014,0.008701,1.463657,0.5134,0.4866
2015,0.013323999999999999,1.492151,0.5134,0.4866
2016,0.007551,1.531366,0.5134,0.4866
2017,0.005169,1.520947,0.5134,0.4866
2018,0.003992,1.478848,0.5134,0.4866
2019,0.004627,1.464192,0.5134,0.4866
