Year,Age,Sex,Mortality Rate
2000,0,Female,0.00422
2000,0,Male,0.00534
2000,1-14,Female,0.00015401
2000,1-14,Male,0.0001831733333333333
2000,15-64,Female,0.001933228
2000,15-64,Male,0.004098674
2000,65-89,Female,0.052647908
2000,65-89,Male,0.07615421
2000,90+,Female,0.37743624000000003
2000,90+,Male,0.4185894766666667
2001,0,Female,0.00364
2001,0,Male,0.00585
2001,1-14,Female,0.00014817333333333333
2001,1-14,Male,0.00015100333333333332
2001,15-64,Female,0.001874835
2001,15-64,Male,0.003893161
2001,65-89,Female,0.049907932
2001,65-89,Male,0.07380985
2001,90+,Female,0.36696397666666664
2001,90+,Male,0.41029238333333334
2002,0,Female,0.00351
2002,0,Male,0.00486
2002,1-14,Female,0.00011650333333333333
2002,1-14,Male,0.00016334666666666665
2002,15-64,Female,0.001792664
2002,15-64,Male,0.0038293399999999997
2002,65-89,Female,0.050267008
2002,65-89,Male,0.07405057000000001
2002,90+,Female,0.37762596333333337
2002,90+,Male,0.42654405666666667
2003,0,Female,0.00401
2003,0,Male,0.00486
2003,1-14,Female,0.00015700666666666668
2003,1-14,Male,0.0001803433333333333
2003,15-64,Female,0.001866858
2003,15-64,Male,0.003785239
2003,65-89,Female,0.050928549999999996
2003,65-89,Male,0.073509798
2003,90+,Female,0.3745966866666666
2003,90+,Male,0.38815742999999997
2004,0,Female,0.00436
2004,0,Male,0.00476
2004,1-14,Female,0.00012516666666666668
2004,1-14,Male,0.00014616666666666665
2004,15-64,Female,0.0017658349999999999
2004,15-64,Male,0.003704993
2004,65-89,Female,0.04749953
2004,65-89,Male,0.06909525400000001
2004,90+,Female,0.3577757666666666
2004,90+,Male,0.39409082999999995
2005,0,Female,0.00397
2005,0,Male,0.00435
2005,1-14,Female,0.00014084333333333333
2005,1-14,Male,0.00016717333333333333
2005,15-64,Female,0.001731758
2005,15-64,Male,0.0036497139999999996
2005,65-89,Female,0.047038038
2005,65-89,Male,0.068652904
2005,90+,Female,0.35871791333333336
2005,90+,Male,0.3909303
2006,0,Female,0.0031
2006,0,Male,0.00411
2006,1-14,Female,0.00011867333333333334
2006,1-14,Male,0.00016368
2006,15-64,Female,0.0016376290000000003
2006,15-64,Male,0.003479792
2006,65-89,Female,0.045621146
2006,65-89,Male,0.06677445200000001
2006,90+,Female,0.35634181
2006,90+,Male,0.39468325666666665
2007,0,Female,0.00325
2007,0,Male,0.00404
2007,1-14,Female,9.900333333333333e-05
2007,1-14,Male,0.00013800333333333333
2007,15-64,Female,0.001654406
2007,15-64,Male,0.0034331350000000004
2007,65-89,Female,0.044668903999999995
2007,65-89,Male,0.064540332
2007,90+,Female,0.33925833666666666
2007,90+,Male,0.38711596666666664
2008,0,Female,0.00301
2008,0,Male,0.00446
2008,1-14,Female,0.00010650666666666667
2008,1-14,Male,0.00013167333333333336
2008,15-64,Female,0.0016204450000000003
2008,15-64,Male,0.0033389299999999995
2008,65-89,Female,0.043763304
