Year,Age,Sex,Population
2000,0,Male,81546.0
2000,1-14,Male,618072.5
2000,15-64,Male,2709145.5
2000,65-89,Male,457217.0
2000,90+,Male,9290.0
2000,0,Female,77481.0
2000,1-14,Female,588357.5
2000,15-64,Female,2701078.0
2000,65-89,Female,737566.5
2000,90+,Female,33174.0
2001,0,Male,79831.0
2001,1-14,Male,613209.5
2001,15-64,Male,2727804.5
2001,65-89,Male,463285.0
2001,90+,Male,9882.5
2001,0,Female,75540.0
2001,1-14,Female,583888.5
2001,15-64,Female,2718357.5
2001,65-89,Female,735558.0
2001,90+,Female,34876.0
2002,0,Male,79152.0
2002,1-14,Male,609026.0
2002,15-64,Male,2750289.0
2002,65-89,Male,469234.0
2002,90+,Male,10458.0
2002,0,Female,74756.5
2002,1-14,Female,579591.0
2002,15-64,Female,2739249.0
2002,65-89,Female,733240.5
2002,90+,Female,36640.5
2003,0,Male,79722.5
2003,1-14,Male,604309.5
2003,15-64,Male,2770447.5
2003,65-89,Male,476049.0
2003,90+,Male,11010.5
2003,0,Female,75665.5
2003,1-14,Female,574864.0
2003,15-64,Female,2760685.0
2003,65-89,Female,731614.0
2003,90+,Female,38234.5
2004,0,Male,80447.5
2004,1-14,Male,599491.5
2004,15-64,Male,2784745.5
2004,65-89,Male,493077.5
2004,90+,Male,11517.5
2004,0,Female,76345.5
2004,1-14,Female,570150.0
2004,15-64,Female,2776328.5
2004,65-89,Female,741796.0
2004,90+,Female,39591.5
2005,0,Male,81001.5
2005,1-14,Male,594647.5
2005,15-64,Male,2793418.0
2005,65-89,Male,519491.0
2005,90+,Male,11530.5
2005,0,Female,76946.5
2005,1-14,Female,565220.0
2005,15-64,Female,2783797.5
2005,65-89,Female,763464.0
2005,90+,Female,39688.0
2006,0,Male,80671.0
2006,1-14,Male,587702.5
2006,15-64,Male,2798347.0
2006,65-89,Male,544994.5
2006,90+,Male,10911.5
2006,0,Female,77140.0
2006,1-14,Female,558440.0
2006,15-64,Female,2788219.0
2006,65-89,Female,785536.5
2006,90+,Female,37936.5
2007,0,Male,79620.5
2007,1-14,Male,579295.0
2007,15-64,Male,2802967.5
2007,65-89,Male,564699.0
2007,90+,Male,10179.5
2007,0,Female,76368.0
2007,1-14,Female,550974.0
2007,15-64,Female,2794918.5
2007,65-89,Female,802119.0
2007,90+,Female,35811.0
2008,0,Male,79313.5
2008,1-14,Male,570684.0
2008,15-64,Male,2810365.0
2008,65-89,Male,580316.0
2008,90+,Male,9650.0
2008,0,Female,75613.0
2008,1-14,Female,543575.5
2008,15-64,Female,2805362.5
2008,65-89,Female,814305.5
2008,90+,Female,34067.5
2009,0,Male,79508.5
2009,1-14,Male,562400.5
