Year,Age,Sex,Population
2020,0,Male,86581.5
2020,1-14,Male,573639.5
2020,15-64,Male,2984993.5
2020,65-89,Male,719610.0
2020,90+,Male,24256.0
2020,0,Female,82312.5
2020,1-14,Female,541538.5
2020,15-64,Female,2942125.0
2020,65-89,Female,904195.0
2020,90+,Female,62153.5
2021,0,Male,86754.0
2021,1-14,Male,575421.5
2021,15-64,Male,2989425.5
2021,65-89,Male,733832.5
2021,90+,Male,26562.5
2021,0,Female,82376.5
2021,1-14,Female,543177.0
2021,15-64,Female,2944657.0
2021,65-89,Female,919331.0
2021,90+,Female,65519.00000000001
2022,0,Male,87570.0
2022,1-14,Male,581259.5
2022,15-64,Male,3008440.5
2022,65-89,Male,755981.0
2022,90+,Male,27446.5
2022,0,Female,83084.0
2022,1-14,Female,548519.0
2022,15-64,Female,2961927.0
2022,65-89,Female,943549.0
2022,90+,Female,66900.5
2023,0,Male,84963.5
2023,1-14,Male,586581.5
2023,15-64,Male,3015972.5
2023,65-89,Male,779549.5
2023,90+,Male,26968.0
2023,0,Female,80588.5
2023,1-14,Female,553758.5
2023,15-64,Female,2967503.0
2023,65-89,Female,968652.0
2023,90+,Female,65892.0
2024,0,Male,80501.5
2024,1-14,Male,586759.5
2024,15-64,Male,2996911.0
2024,65-89,Male,799555.5
2024,90+,Male,26886.0
2024,0,Female,76333.0
2024,1-14,Female,554115.5
2024,15-64,Female,2946721.0
2024,65-89,Female,988434.5
2024,90+,Female,64595.5
2025,0,Male,78384.0
2025,1-14,Male,584651.0
2025,15-64,Male,2976594.5
2025,65-89,Male,821726.0
2025,90+,Male,27130.0
2025,0,Female,74291.0
2025,1-14,Female,551994.5
2025,15-64,Female,2925177.0
2025,65-89,Female,1010120.0
2025,90+,Female,63506.0
2026,0,Male,77625.0
2026,1-14,Male,580463.5
2026,15-64,Male,2955278.5
2026,65-89,Male,845800.0
2026,90+,Male,27532.5
2026,0,Female,73551.0
2026,1-14,Female,548306.5
2026,15-64,Female,2902295.5
2026,65-89,Female,1033727.5
2026,90+,Female,62686.0
2027,0,Male,76766.5
2027,1-14,Male,576010.0
2027,15-64,Male,2932575.5
2027,65-89,Male,871515.0
2027,90+,Male,28221.5
2027,0,Female,72731.0
2027,1-14,Female,544603.0
2027,15-64,Female,2877984.0
2027,65-89,Female,1058900.0
2027,90+,Female,62186.5
2028,0,Male,75863.0
2028,1-14,Male,571248.5
2028,15-64,Male,2909306.5
2028,65-89,Male,897868.0
2028,90+,Male,29427.0
2028,0,Female,71873.0
2028,1-14,Female,540443.0
2028,15-64,Female,2852904.5
2028,65-89,Female,1084644.0
2028,90+,Female,62687.5
2029,0,Male,74891.0
2029,1-14,Male,565553.5
2029,15-64,Male,2885921.5
2029,65-89,Male,922554.5
2029,90+,Male,32764.000000000004
2029,0,Female,70946.0
2029,1-14,Female,535378.0
2029,15-64,Female,2827352.5
2029,65-89,Female,1107182.0
2029,90+,Female,67220.5
2030,0,Male,73841.0
2030,1-14,Male,558416.0
2030,15-64,Male,2862862.5
2030,65-89,Male,945315.0
2030,90+,Male,37758.5
2030,0,Female,69937.5
2030,1-14,Female,529031.0
2030,15-64,Female,2802267.5
2030,65-89,Female,1126031.0
2030,90+,Female,74886.5
