IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.363788
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.331394
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.389026
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.373068
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.415371
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.405953
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.404183
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.380882
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.410574
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.392745
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.44015
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.429717
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.439702
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.435982
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.463657
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.492151
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.531366
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.520947
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.478848
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.464192
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.2
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.957
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.641
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.462
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",6.73
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",6.158
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.118
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.967
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.052
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.184
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.698
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.799
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.339
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",6.688
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",8.701
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13.324
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",7.551
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.169
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.992
66,"Crude rate of net migration","Crude rate of net migration","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.627
