IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00534
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00422
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",223,1,4,"1-4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00022752
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",223,1,4,"1-4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00023003
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",71,5,9,"5-9",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00014599
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",71,5,9,"5-9",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.000108
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",76,10,14,"10-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00017601
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",76,10,14,"10-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.000124
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",67,15,19,"15-19",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00083361
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",67,15,19,"15-19",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00029996
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",75,20,24,"20-24",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00106
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",75,20,24,"20-24",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.000346
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",57,25,29,"25-29",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00108418
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",57,25,29,"25-29",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00032197
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",62,30,34,"30-34",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00098784
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",62,30,34,"30-34",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00039796
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",63,35,39,"35-39",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00135754
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",63,35,39,"35-39",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.0006879
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",64,40,44,"40-44",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00237347
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",64,40,44,"40-44",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00130164
79,"Age specific mortality rate m(x,n) - abridged","Age-specific mortality rates by age groups and by sex","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",69,45,49,"45-49",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.00356534
