IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",81546
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",77481
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",228,0,14,"0-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",699618.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",228,0,14,"0-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",665838.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2709145.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2701078
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",45,65,null,"65+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",466507
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",45,65,null,"65+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",770740.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",1,"Male",19,90,null,"90+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",9290
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",2,"Female",19,90,null,"90+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33174
